=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     vehicle_classification
Instances:    20030
Attributes:   205
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 28.03 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
220,5:bus_sitting,5:bus_sitting,,0.89
221,5:bus_sitting,5:bus_sitting,,0.96
222,5:bus_sitting,5:bus_sitting,,0.98
223,5:bus_sitting,5:bus_sitting,,0.95
224,5:bus_sitting,5:bus_sitting,,0.95
225,5:bus_sitting,5:bus_sitting,,0.94
226,5:bus_sitting,5:bus_sitting,,0.95
227,5:bus_sitting,5:bus_sitting,,0.97
228,5:bus_sitting,5:bus_sitting,,0.95
229,5:bus_sitting,5:bus_sitting,,0.92
230,5:bus_sitting,5:bus_sitting,,0.94
231,5:bus_sitting,5:bus_sitting,,0.97
232,5:bus_sitting,5:bus_sitting,,0.99
233,5:bus_sitting,5:bus_sitting,,0.95
234,5:bus_sitting,5:bus_sitting,,0.99
235,5:bus_sitting,5:bus_sitting,,0.99
236,5:bus_sitting,5:bus_sitting,,0.99
237,5:bus_sitting,5:bus_sitting,,1
238,5:bus_sitting,5:bus_sitting,,0.97
239,5:bus_sitting,5:bus_sitting,,0.98
240,5:bus_sitting,5:bus_sitting,,0.96
241,5:bus_sitting,5:bus_sitting,,0.96
242,5:bus_sitting,5:bus_sitting,,0.97
243,5:bus_sitting,5:bus_sitting,,0.93
244,5:bus_sitting,5:bus_sitting,,0.85
245,5:bus_sitting,5:bus_sitting,,0.91
246,5:bus_sitting,5:bus_sitting,,1
247,5:bus_sitting,5:bus_sitting,,0.96
248,5:bus_sitting,5:bus_sitting,,0.98
249,5:bus_sitting,5:bus_sitting,,0.95
250,5:bus_sitting,5:bus_sitting,,0.71
251,5:bus_sitting,5:bus_sitting,,0.63
252,5:bus_sitting,5:bus_sitting,,0.93
253,5:bus_sitting,5:bus_sitting,,0.99
254,5:bus_sitting,5:bus_sitting,,0.99
255,5:bus_sitting,5:bus_sitting,,0.87
256,5:bus_sitting,5:bus_sitting,,0.99
257,5:bus_sitting,5:bus_sitting,,1
258,5:bus_sitting,5:bus_sitting,,0.96
259,5:bus_sitting,5:bus_sitting,,0.95
260,5:bus_sitting,5:bus_sitting,,0.98
261,5:bus_sitting,5:bus_sitting,,0.99
262,5:bus_sitting,5:bus_sitting,,0.97
263,5:bus_sitting,5:bus_sitting,,0.99
264,5:bus_sitting,5:bus_sitting,,0.92
265,5:bus_sitting,5:bus_sitting,,0.95
266,5:bus_sitting,5:bus_sitting,,0.95
267,5:bus_sitting,5:bus_sitting,,0.93
268,5:bus_sitting,5:bus_sitting,,0.97
269,5:bus_sitting,5:bus_sitting,,0.99
270,5:bus_sitting,5:bus_sitting,,0.99
271,5:bus_sitting,5:bus_sitting,,0.98
272,5:bus_sitting,5:bus_sitting,,0.98
273,5:bus_sitting,5:bus_sitting,,0.97
274,5:bus_sitting,5:bus_sitting,,0.96
275,5:bus_sitting,5:bus_sitting,,0.53
276,5:bus_sitting,5:bus_sitting,,0.49
277,5:bus_sitting,5:bus_sitting,,0.51
278,5:bus_sitting,8:metroK_sitting,+,0.38
279,5:bus_sitting,8:metroK_sitting,+,0.42
280,5:bus_sitting,5:bus_sitting,,0.69
281,5:bus_sitting,5:bus_sitting,,0.93
282,5:bus_sitting,5:bus_sitting,,0.97
283,5:bus_sitting,5:bus_sitting,,0.71
284,5:bus_sitting,5:bus_sitting,,0.57
285,5:bus_sitting,5:bus_sitting,,0.43
286,5:bus_sitting,5:bus_sitting,,0.81
287,5:bus_sitting,5:bus_sitting,,0.69
288,5:bus_sitting,5:bus_sitting,,0.58
289,5:bus_sitting,5:bus_sitting,,0.57
290,5:bus_sitting,5:bus_sitting,,0.56
291,5:bus_sitting,5:bus_sitting,,0.68
292,5:bus_sitting,5:bus_sitting,,0.94
293,5:bus_sitting,5:bus_sitting,,0.88
294,5:bus_sitting,5:bus_sitting,,0.96
295,5:bus_sitting,5:bus_sitting,,0.94
296,5:bus_sitting,5:bus_sitting,,0.96
297,5:bus_sitting,5:bus_sitting,,0.91
298,5:bus_sitting,5:bus_sitting,,0.97
299,5:bus_sitting,5:bus_sitting,,0.93
300,5:bus_sitting,5:bus_sitting,,0.9
301,5:bus_sitting,5:bus_sitting,,0.92
302,5:bus_sitting,5:bus_sitting,,0.92
303,5:bus_sitting,5:bus_sitting,,0.89
304,5:bus_sitting,5:bus_sitting,,0.93
305,5:bus_sitting,5:bus_sitting,,0.92
306,5:bus_sitting,5:bus_sitting,,0.95
307,5:bus_sitting,5:bus_sitting,,0.91
308,5:bus_sitting,5:bus_sitting,,0.96
309,5:bus_sitting,5:bus_sitting,,0.97
310,5:bus_sitting,5:bus_sitting,,0.93
311,5:bus_sitting,5:bus_sitting,,0.96
312,5:bus_sitting,5:bus_sitting,,0.93
313,5:bus_sitting,5:bus_sitting,,0.89
314,5:bus_sitting,5:bus_sitting,,0.91
315,5:bus_sitting,5:bus_sitting,,0.94
316,5:bus_sitting,5:bus_sitting,,0.94
317,5:bus_sitting,5:bus_sitting,,0.97
318,5:bus_sitting,5:bus_sitting,,0.92
319,5:bus_sitting,5:bus_sitting,,0.96
320,5:bus_sitting,5:bus_sitting,,0.95
321,5:bus_sitting,5:bus_sitting,,0.97
322,5:bus_sitting,5:bus_sitting,,0.96
323,5:bus_sitting,5:bus_sitting,,0.92
324,5:bus_sitting,5:bus_sitting,,0.66
325,5:bus_sitting,5:bus_sitting,,0.82
326,5:bus_sitting,5:bus_sitting,,0.98
327,5:bus_sitting,5:bus_sitting,,0.93
328,5:bus_sitting,5:bus_sitting,,0.86
329,5:bus_sitting,5:bus_sitting,,0.84
330,5:bus_sitting,5:bus_sitting,,0.73
331,5:bus_sitting,5:bus_sitting,,0.75
332,5:bus_sitting,5:bus_sitting,,0.83
333,5:bus_sitting,5:bus_sitting,,0.91
334,5:bus_sitting,5:bus_sitting,,0.9
335,5:bus_sitting,5:bus_sitting,,0.93
336,5:bus_sitting,5:bus_sitting,,0.74
337,5:bus_sitting,5:bus_sitting,,0.66
338,5:bus_sitting,5:bus_sitting,,0.66
339,5:bus_sitting,5:bus_sitting,,0.74
340,5:bus_sitting,5:bus_sitting,,0.92
341,5:bus_sitting,5:bus_sitting,,0.89
342,5:bus_sitting,5:bus_sitting,,0.87
343,5:bus_sitting,5:bus_sitting,,0.93
344,5:bus_sitting,5:bus_sitting,,0.95
345,5:bus_sitting,5:bus_sitting,,0.82
346,5:bus_sitting,5:bus_sitting,,0.87
347,5:bus_sitting,5:bus_sitting,,0.91
348,5:bus_sitting,5:bus_sitting,,0.85
349,5:bus_sitting,5:bus_sitting,,0.78
350,5:bus_sitting,5:bus_sitting,,0.85
351,5:bus_sitting,5:bus_sitting,,0.88
352,5:bus_sitting,5:bus_sitting,,0.87
353,5:bus_sitting,5:bus_sitting,,0.87
354,5:bus_sitting,5:bus_sitting,,0.8
355,5:bus_sitting,5:bus_sitting,,0.85
356,5:bus_sitting,5:bus_sitting,,0.81
357,5:bus_sitting,5:bus_sitting,,0.85
358,5:bus_sitting,5:bus_sitting,,0.88
359,5:bus_sitting,5:bus_sitting,,0.89
360,5:bus_sitting,5:bus_sitting,,0.86
361,5:bus_sitting,5:bus_sitting,,0.8
362,5:bus_sitting,5:bus_sitting,,0.83
363,5:bus_sitting,5:bus_sitting,,0.89
364,5:bus_sitting,5:bus_sitting,,0.74
365,5:bus_sitting,5:bus_sitting,,0.82
366,5:bus_sitting,5:bus_sitting,,0.85
367,5:bus_sitting,5:bus_sitting,,0.65
368,5:bus_sitting,5:bus_sitting,,0.73
369,5:bus_sitting,5:bus_sitting,,0.95
370,5:bus_sitting,5:bus_sitting,,0.86
371,5:bus_sitting,5:bus_sitting,,0.65
372,5:bus_sitting,5:bus_sitting,,0.71
373,5:bus_sitting,5:bus_sitting,,0.78
374,5:bus_sitting,5:bus_sitting,,0.79
375,5:bus_sitting,5:bus_sitting,,0.59
376,5:bus_sitting,5:bus_sitting,,0.63
377,5:bus_sitting,5:bus_sitting,,0.81
378,5:bus_sitting,5:bus_sitting,,0.93
379,5:bus_sitting,5:bus_sitting,,0.92
380,5:bus_sitting,5:bus_sitting,,0.95
381,5:bus_sitting,5:bus_sitting,,0.96
382,5:bus_sitting,5:bus_sitting,,0.97
383,5:bus_sitting,5:bus_sitting,,0.95
384,5:bus_sitting,5:bus_sitting,,0.97
385,5:bus_sitting,5:bus_sitting,,0.94
386,5:bus_sitting,5:bus_sitting,,0.91
387,5:bus_sitting,5:bus_sitting,,0.95
388,5:bus_sitting,5:bus_sitting,,0.95
389,5:bus_sitting,5:bus_sitting,,0.92
390,5:bus_sitting,5:bus_sitting,,0.76
391,5:bus_sitting,5:bus_sitting,,0.68
392,5:bus_sitting,5:bus_sitting,,0.77
393,5:bus_sitting,5:bus_sitting,,0.79
394,5:bus_sitting,5:bus_sitting,,0.79
